fantasy_player_id,round_id,tournament_id,points,starting_xi,minutes_played,goals_scored,assists,clean_sheet,goals_conceded,yellow_cards,red_cards,own_goals,penalty_won,penalty_conceded,penalty_saved,saves,tackles,chances_created,shots_on_target,free_kicks,scouting_bonus
283,1,21,2,0,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
289,1,21,2,0,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
292,1,21,1,0,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
293,1,21,2,0,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
294,1,21,2,0,33,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
295,1,21,1,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
296,1,21,3,0,74,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0
298,1,11,1,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
298,2,34,3,0,90,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
300,1,11,12,0,90,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
300,2,34,2,0,82,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
302,1,11,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2,34,1,0,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
303,1,11,8,0,89,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
303,2,34,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
304,1,11,9,0,90,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1
304,2,34,1,0,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
305,1,11,9,0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
305,2,34,1,0,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
307,1,11,2,0,90,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0
307,2,34,2,0,85,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0
308,1,11,2,0,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
308,2,34,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
309,1,11,1,0,56,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
310,1,11,9,0,34,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1
310,2,34,7,0,75,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1
311,2,34,1,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
312,2,34,1,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
314,1,11,1,0,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
317,1,11,9,0,90,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
317,2,34,2,0,90,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0
321,1,11,1,0,13,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
321,2,34,4,0,75,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0
322,1,11,2,0,90,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0
322,2,34,10,0,90,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1
323,1,11,2,0,77,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
323,2,34,1,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
324,1,22,7,0,90,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,1
325,1,22,-1,0,90,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
326,1,22,-1,0,90,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
330,1,22,0,0,66,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
333,1,22,1,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
334,1,22,7,0,90,0,1,0,4,0,0,0,0,0,0,0,1,1,0,0,1
335,1,22,1,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
336,1,22,9,0,66,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1
337,1,22,1,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
338,1,22,1,0,90,0,0,0,4,0,0,0,0,0,0,7,1,0,0,0,0
345,1,22,1,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
