fantasy_player_id,appearances,minutes_played,starting_xi,total_points,total_goals_scored,total_assists,clean_sheets,saves,tackles,chances_created,shots_on_target,scouting_bonus,yellow_cards
889,1,10,0,1,0,0,0,0,0,0,0,0,0
890,1,89,0,11,1,0,1,0,3,0,1,1,1
893,2,180,0,8,0,0,1,0,1,0,0,1,0
894,2,180,0,7,0,0,1,0,4,0,0,1,1
895,2,180,0,8,0,0,1,0,0,0,0,1,0
898,2,34,0,2,0,0,1,0,0,0,0,0,0
899,2,160,0,8,0,0,1,0,14,0,1,1,1
900,1,1,0,1,0,0,1,0,1,0,0,0,0
901,2,124,0,1,0,0,1,0,5,0,0,0,1
902,1,62,0,2,0,0,0,0,0,0,0,0,0
903,1,11,0,1,0,0,0,0,0,0,0,0,0
904,1,28,0,0,0,0,0,0,1,0,0,0,1
905,1,1,0,1,0,0,1,0,1,0,0,0,0
907,1,9,0,1,0,0,1,0,0,0,0,0,0
