fifa_player_id,fifa_team_id,avg_attacking_score,avg_defensive_score,avg_creativity_score,avg_defending_the_goal_score,n_matches_ranked,player_kind
379886,43817,5.391063213348389,6.228978633880615,6.614032745361328,,1,outfieldPlayer
379939,43843,4.103327751159668,7.1488518714904785,5.168673038482666,,1,outfieldPlayer
379942,43843,4.4255781173706055,5.1457977294921875,6.244823455810547,,1,outfieldPlayer
379953,43948,5.0674028396606445,5.650696754455566,7.684628009796143,,1,outfieldPlayer
379955,43948,4.887447357177734,5.393178224563599,5.967174530029297,,2,outfieldPlayer
380005,43938,4.538110256195068,5.318307399749756,6.268611907958984,,1,outfieldPlayer
380007,43817,,,,7.399805545806885,2,goalkeeper
382312,43976,4.385354042053223,6.340263605117798,5.682854175567627,,2,outfieldPlayer
382739,43969,4.123410701751709,5.37593412399292,5.90194034576416,,1,outfieldPlayer
384797,43817,5.606136798858643,5.034852504730225,7.220461368560791,,2,outfieldPlayer
385031,43914,4.202515602111816,6.978495121002197,6.264159202575684,,1,outfieldPlayer
385067,43834,4.259888172149658,5.394272327423096,5.564369440078735,,2,outfieldPlayer
385139,44005,4.943978309631348,4.3888349533081055,7.063939094543457,,1,outfieldPlayer
385259,43934,4.451103687286377,5.261373996734619,6.599569797515869,,1,outfieldPlayer
385306,43928,4.280490875244141,6.942944288253784,4.999713897705078,,2,outfieldPlayer
385475,44005,5.19144868850708,3.962862968444824,5.922310829162598,,1,outfieldPlayer
385531,43934,5.43701696395874,7.9803924560546875,7.342293739318848,,1,outfieldPlayer
386013,43926,4.152480125427246,6.836561679840088,5.126179218292236,,1,outfieldPlayer
386347,43834,4.601986885070801,4.408533573150635,6.6353607177734375,,2,outfieldPlayer
386348,43834,3.9490976333618164,5.079427123069763,4.768542528152466,,2,outfieldPlayer
386387,43834,4.381641387939453,4.008697986602783,5.518630027770996,,1,outfieldPlayer
386413,43948,4.421403408050537,6.548584461212158,6.837523460388184,,2,outfieldPlayer
386473,43860,,,,7.207127571105957,1,goalkeeper
386538,43930,4.541328430175781,6.507063150405884,6.171188831329346,,2,outfieldPlayer
388475,43817,5.3451828956604,4.877839803695679,5.6509644985198975,,2,outfieldPlayer
389437,43820,4.638167381286621,4.876293182373047,6.415947914123535,,1,outfieldPlayer
389754,43938,7.3049139976501465,4.845635890960693,5.606958866119385,,1,outfieldPlayer
389782,43927,4.138382434844971,5.64776086807251,5.971974849700928,,1,outfieldPlayer
389784,43927,4.229129076004028,7.293436527252197,5.665447235107422,,2,outfieldPlayer
389867,43946,9.142857551574707,4.156703472137451,6.8530097007751465,,1,outfieldPlayer
389876,43946,4.047618865966797,7.803831100463867,5.756850719451904,,1,outfieldPlayer
389879,43843,,,,4.789216041564941,1,goalkeeper
390181,43978,4.403751373291016,5.206125974655151,5.002417087554932,,2,outfieldPlayer
390196,43978,5.119181394577026,5.225043773651123,6.036387205123901,,2,outfieldPlayer
390209,43978,5.171467542648315,4.65195369720459,5.998674392700195,,2,outfieldPlayer
390238,43921,4.05308198928833,7.85200572013855,5.577433347702026,,2,outfieldPlayer
390259,43921,4.337032079696655,5.38297438621521,7.218459367752075,,2,outfieldPlayer
390267,43921,5.6913347244262695,5.422756195068359,7.627152919769287,,1,outfieldPlayer
390475,43883,3.408412456512451,4.801172733306885,3.9230198860168457,,1,outfieldPlayer
390525,43822,4.593214750289917,6.166315793991089,5.938636541366577,,2,outfieldPlayer
390534,43817,5.292087554931641,6.3779778480529785,5.278491497039795,,1,outfieldPlayer
390535,43817,4.273226737976074,5.518316745758057,6.868206024169922,,1,outfieldPlayer
390537,43817,4.287714719772339,5.397748708724976,6.221172571182251,,2,outfieldPlayer
390541,43819,4.390319347381592,5.4686431884765625,6.4914069175720215,,1,outfieldPlayer
390650,1895293,,,,7.190337419509888,2,goalkeeper
