fantasy_player_id,fifa_player_id,fantasy_squad_id,first_name,last_name,known_name,position,price,is_active,percent_selected,rounds_selected_json,total_points,avg_points,form,last_round_points,round_points_json,qualification_round_ids_json
1042,448815.0,39,Iliman,Ndiaye,Iliman Ndiaye,FWD,6.5,True,0.5,"{""1"": 0.6, ""2"": 0.5, ""3"": 0.5}",4,4.0,1.3,4,"{""1"": 4}",[]
1043,401889.0,39,Ismaïla,Sarr,Ismaïla Sarr,FWD,6.2,True,0.4,"{""1"": 0.5, ""2"": 0.4, ""3"": 0.4}",2,2.0,0.7,2,"{""1"": 2}",[]
1046,484698.0,39,Assane,Diao,Assane Diao,FWD,4.9,True,0.1,"{""1"": 0.1, ""2"": 0, ""3"": 0.1}",0,0.0,0.0,0,{},[]
1047,486168.0,39,Cherif,Ndiaye,Cherif Ndiaye,FWD,4.9,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",0,0.0,0.0,0,{},[]
1048,418781.0,39,Bamba,Dieng,Bamba Dieng,FWD,4.9,True,0.1,"{""1"": 0.1, ""2"": 0, ""3"": 0.1}",1,1.0,0.3,1,"{""1"": 1}",[]
1049,496358.0,39,Ibrahim,Mbaye,Ibrahim Mbaye,FWD,4.4,True,0.3,"{""1"": 0.1, ""2"": 0.2, ""3"": 0.3}",8,8.0,2.7,8,"{""1"": 8}",[]
1051,433806.0,39,Édouard,Mendy,Édouard Mendy,GK,4.5,True,1.2,"{""1"": 1.1, ""2"": 1, ""3"": 1.2}",1,1.0,0.3,1,"{""1"": 1}",[]
1052,494277.0,39,Yehvann,Diouf,Yehvann Diouf,GK,3.9,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",0,0.0,0.0,0,{},[]
1053,448821.0,39,Mory,Diaw,Mory Diaw,GK,3.8,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
1054,403642.0,39,Krépin,Diatta,Krépin Diatta,MID,6.1,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",3,3.0,1.0,3,"{""1"": 3}",[]
1055,464842.0,39,Lamine,Camara,Lamine Camara,MID,6.2,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",2,2.0,0.7,2,"{""1"": 2}",[]
1056,486130.0,39,Habib,Diarra,Habib Diarra,MID,6.2,True,0.0,"{""1"": 0.1, ""2"": 0, ""3"": 0}",1,1.0,0.3,1,"{""1"": 1}",[]
1057,463236.0,40,Jayden,Adams,Jayden Adams,MID,4.0,True,4.2,"{""1"": 4.4, ""2"": 2.7, ""3"": 4.2}",3,1.5,1.0,1,"{""1"": 2, ""2"": 1}",[]
1058,403616.0,40,Teboho,Mokoena,Teboho Mokoena,MID,4.3,True,0.2,"{""1"": 0.3, ""2"": 0.2, ""3"": 0.2}",10,5.0,3.3,9,"{""1"": 1, ""2"": 9}",[]
1059,395984.0,40,Themba,Zwane,Themba Zwane,MID,4.3,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",-1,-1.0,-0.3,-1,"{""1"": -1}",[]
1060,494248.0,40,Thalente,Mbatha,Thalente Mbatha,MID,4.9,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",3,1.5,1.0,2,"{""1"": 1, ""2"": 2}",[]
1061,504193.0,40,Tshepang,Moremi,Tshepang Moremi,MID,4.9,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
1062,390475.0,40,Sphephelo S'Miso,Sithole,Yaya Sithole,MID,5.1,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",-1,-1.0,-0.3,-1,"{""1"": -1}",[]
1063,395050.0,40,Aubrey,Modiba,Aubrey Modiba,DEF,3.7,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",3,1.5,1.0,2,"{""1"": 1, ""2"": 2}",[]
1064,510850.0,40,Thabang,Matuludi,Thabang Matuludi,DEF,3.7,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
1065,463218.0,40,Khuliso,Mudau,Khuliso Mudau,DEF,3.6,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",3,1.5,1.0,2,"{""1"": 1, ""2"": 2}",[]
1066,463221.0,40,Nkosinathi,Sibisi,Nkosinathi Sibisi,DEF,3.6,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,"{""1"": 0}",[]
1067,504199.0,40,Mbekezeli,Mbokazi,Mbekezeli Mbokazi,DEF,3.5,True,0.3,"{""1"": 0.3, ""2"": 0.3, ""3"": 0.3}",3,1.5,1.0,2,"{""1"": 1, ""2"": 2}",[]
1068,504192.0,40,Khulumani,Ndamane,Khulumani Ndamane,DEF,3.5,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
1069,506039.0,40,Ime,Okon,Ime Okon,DEF,3.5,True,0.1,"{""1"": 0.1, ""2"": 0, ""3"": 0.1}",3,1.5,1.0,2,"{""1"": 1, ""2"": 2}",[]
1070,504200.0,40,Samukele,Kabini,Samukele Kabini,DEF,3.5,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
1071,419211.0,40,Lyle,Foster,Lyle Foster,FWD,5.4,True,0.1,"{""1"": 0.2, ""2"": 0.1, ""3"": 0.1}",1,1.0,0.3,1,"{""1"": 1}",[]
1072,486161.0,40,Relebohile,Mofokeng,Relebohile Mofokeng,FWD,4.9,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",1,1.0,0.3,1,"{""2"": 1}",[]
1073,419223.0,40,Oswin,Appollis,Oswin Appollis,FWD,4.9,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",3,1.5,1.0,2,"{""1"": 1, ""2"": 2}",[]
1075,430917.0,40,Evidence,Makgopa,Evidence Makgopa,FWD,4.5,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",3,1.5,1.0,2,"{""1"": 1, ""2"": 2}",[]
1076,463234.0,40,Thapelo,Maseko,Thapelo Maseko,FWD,4.2,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",7,7.0,2.3,7,"{""2"": 7}",[]
1077,395986.0,40,Ronwen,Williams,Ronwen Williams,GK,4.5,True,0.4,"{""1"": 0.4, ""2"": 0.4, ""3"": 0.4}",3,1.5,1.0,2,"{""1"": 1, ""2"": 2}",[]
1078,395059.0,40,Ricardo,Goss,Ricardo Goss,GK,3.7,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
1081,423658.0,41,Yéremy,Pino,Yéremy Pino,MID,5.9,True,0.1,"{""1"": 0.1, ""2"": 0, ""3"": 0.1}",1,1.0,0.3,1,"{""2"": 1}",[]
1082,447860.0,41,Álex,Baena,Álex Baena,MID,6.0,True,0.2,"{""1"": 0.2, ""2"": 0.1, ""3"": 0.2}",3,3.0,1.0,3,"{""2"": 3}",[]
1084,430754.0,41,Martín,Zubimendi,Martín Zubimendi,MID,6.1,True,0.3,"{""1"": 0.4, ""2"": 0.3, ""3"": 0.3}",0,0.0,0.0,0,{},[]
1085,430144.0,41,Pedro,Porro,Pedro Porro,DEF,5.5,True,4.9,"{""1"": 6.4, ""2"": 5.2, ""3"": 4.9}",7,7.0,2.3,7,"{""2"": 7}",[]
1086,335999.0,41,Aymeric,Laporte,Aymeric Laporte,DEF,5.5,True,5.6,"{""1"": 4.8, ""2"": 4.9, ""3"": 5.6}",21,10.5,7.0,12,"{""1"": 9, ""2"": 12}",[]
1087,391297.0,41,Alejandro,Grimaldo,Alejandro Grimaldo,DEF,4.9,True,1.0,"{""1"": 1.4, ""2"": 1.1, ""3"": 1}",0,0.0,0.0,0,{},[]
1088,430735.0,41,Marc,Cucurella,Marc Cucurella,DEF,5.1,True,25.6,"{""1"": 25.9, ""2"": 28.9, ""3"": 25.6}",17,8.5,5.7,10,"{""1"": 7, ""2"": 10}",[]
